"Notify me when this product is in stock","Notify me when this product is in stock"
"Stop Notify this product","Stop Notify this product"
"Notify Me","Notify Me"
"Stop notify","Stop notify"
"The request is allowed for logged in customer","The request is allowed for logged in customer"
"Stock ID is required","Stock ID is required"
"We cannot find any record match with ID = %1","We cannot find any record match with ID = %1"
PENDING,PENDING
SENT,SENT
"In Stock","In Stock"
"Out Of Stock","Out Of Stock"
"Required parameter ""cart_id"" is missing","Required parameter ""cart_id"" is missing"
"Product ID is required","Product ID is required"
"Please correct the email address: %EMAIL","Please correct the email address: %EMAIL"
"Parent ID is required","Parent ID is required"
"Product ID %PRODUCT is not child of product ID %PARENT_ID","Product ID %PRODUCT is not child of product ID %PARENT_ID"
"Product with sku %SKU in website %WEBSITE is not allow to subscribe a stock notice right now.","Product with sku %SKU in website %WEBSITE is not allow to subscribe a stock notice right now."
"You already subscribed for product %SKU in website %WEBSITE.","You already subscribed for product %SKU in website %WEBSITE."
"Alert subscription has been saved.","Alert subscription has been saved."
"There are not enough parameters.","There are not enough parameters."
"This email has been subscribed.","This email has been subscribed."
"You did not subscribe on product %SKU in website %WEBSITE.","You did not subscribe on product %SKU in website %WEBSITE."
"You will no longer receive stock alerts for this product.","You will no longer receive stock alerts for this product."
"We could not find any record match with product %SKU in website %WEBSITE.","We could not find any record match with product %SKU in website %WEBSITE."
